district,tier,attempts,target_doors,1,2,3,4,5
1,2,"22,019","5,939",189,182,612,29,14
2,1,"20,930","6,340",125,117,468,3,13
3,2,"16,457","3,472",162,217,168,13,13
4,2,"24,550","4,022",66,86,155,25,4
5,1,"32,729","9,775",289,212,956,15,9
6,2,"25,851","6,747",103,146,775,33,17
7,1,"8,222","5,586",22,4,9,2,1
8,1,"9,481","6,737",15,7,17,0,3
9,2,"26,260","5,628",65,76,486,29,5
10,2,"32,582","6,091",68,100,330,17,36
11,2,"34,382","6,148",74,169,393,14,37
12,2,"23,724","5,195",110,154,428,48,14